"","id","group","clicks","lifetime","country","browser","date"
"1",1,1,2,88.56,"China","Chrome",2019-09-21 19:36:32
"2",2,1,3,88.56,"India","Opera",2019-10-30 09:25:47
"3",3,1,2,61.5,"China","Safari",2019-11-23 00:58:41
"4",4,1,5,71.34,"Indonesia","Internet Explorer",2019-05-19 16:07:45
"5",5,1,3,79.95,"China","Safari",2019-11-15 02:20:54
"6",6,1,6,61.5,"China","Opera",2019-04-22 01:21:00
"7",7,1,4,88.56,"Italy","Opera",2019-11-28 22:20:22
"8",8,1,4,124.23,"United States","Opera",2019-06-04 08:50:28
"9",9,1,4,79.95,"United States","Chrome",2019-09-03 16:54:35
"10",10,1,2,98.4,"India","Chrome",2019-08-28 11:55:34
"11",11,0,12,72,"China","Chrome",2019-12-08 05:48:44
"12",12,0,10,101,"India","Chrome",2019-03-11 01:31:51
"13",13,1,7,124.23,"United States","Internet Explorer",2019-01-31 02:17:26
"14",14,1,4,134.07,"Spain","Safari",2019-12-22 19:51:31
"15",15,1,6,79.95,"China","Chrome",2019-05-25 13:52:19
"16",16,0,5,58,"United States","Mozilla",2019-01-07 17:13:22
"17",17,0,12,101,"India","Mozilla",2019-11-21 23:50:41
"18",18,1,5,88.56,"Italy","Chrome",2019-12-07 14:24:54
"19",19,1,5,52.89,"India","Chrome",2019-12-14 18:05:48
"20",20,1,5,35.67,"China","Chrome",2019-08-11 05:10:58
"21",21,0,12,94,"United Kingdom","Opera",2019-12-23 10:12:51
"22",22,1,3,159.9,"India","Safari",2019-07-15 02:47:00
"23",23,0,10,80,"China","Chrome",2019-03-09 04:28:46
"24",24,0,12,43,"India","Mozilla",2019-09-05 13:43:01
"25",25,1,4,44.28,"China","Mozilla",2019-11-17 16:04:10
"26",26,1,4,151.29,"China","Opera",2019-02-04 17:56:55
"27",27,1,3,107.01,"India","Safari",2019-07-07 00:07:16
"28",28,1,5,71.34,"India","Opera",2019-02-03 10:10:10
"29",29,1,5,61.5,"United States","Chrome",2019-04-18 21:24:46
"30",30,0,12,50,"India","Chrome",2019-11-19 20:10:16
"31",31,0,15,101,"China","Safari",2019-06-29 11:34:28
"32",32,1,4,98.4,"China","Opera",2019-02-19 04:06:43
"33",33,0,12,58,"Germany","Thor",2019-03-24 07:40:17
"34",34,1,6,107.01,"China","Chrome",2019-08-05 00:48:51
"35",35,0,7,138,"India","Safari",2019-01-05 15:20:19
"36",36,0,12,72,"China","Safari",2019-11-12 03:22:33
"37",37,1,5,107.01,"China","Opera",2019-07-03 02:44:59
"38",38,1,6,124.23,"India","Safari",2019-11-26 13:46:19
"39",39,0,7,58,"China","Chrome",2019-08-05 12:41:05
"40",40,0,12,29,"Spain","Safari",2019-04-19 11:56:01
"41",41,1,2,61.5,"United States","Chrome",2019-04-24 10:24:29
"42",42,1,7,142.68,"India","Opera",2019-03-11 23:22:13
"43",43,1,7,98.4,"Italy","Opera",2019-09-02 23:53:31
"44",44,0,10,80,"China","Opera",2019-12-19 07:41:16
"45",45,1,4,88.56,"India","Mozilla",2019-07-12 18:19:03
"46",46,1,5,71.34,"Italy","Chrome",2019-05-08 15:54:46
"47",47,1,3,44.28,"India","Chrome",2019-01-05 13:29:40
"48",48,0,10,58,"India","Safari",2019-01-05 14:12:32
"49",49,1,3,71.34,"China","Safari",2019-05-22 08:28:10
"50",50,1,5,124.23,"India","Chrome",2019-03-07 11:42:01
"51",51,1,5,115.62,"China","Chrome",2019-10-18 07:11:44
"52",52,1,5,107.01,"India","Thor",2019-12-25 01:06:33
"53",53,1,6,98.4,"China","Opera",2019-04-17 14:45:06
"54",54,1,1,44.28,"China","Opera",2019-02-08 14:39:13
"55",55,0,7,94,"United States","Chrome",2019-10-28 21:52:51
"56",56,1,4,124.23,"India","Thor",2019-06-02 23:42:24
"57",57,1,3,134.07,"China","Mozilla",2019-02-04 08:27:08
"58",58,0,2,80,"India","Opera",2019-08-19 13:36:10
"59",59,1,4,71.34,"Spain","Chrome",2019-09-18 20:26:19
"60",60,1,4,107.01,"India","Chrome",2019-01-13 19:47:50
"61",61,0,7,87,"Spain","Safari",2019-02-09 17:24:44
"62",62,1,3,98.4,"China","Safari",2019-10-03 20:11:31
"63",63,1,6,79.95,"United Kingdom","Chrome",2019-11-21 09:53:47
"64",64,1,4,44.28,"Spain","Chrome",2019-08-13 17:23:23
"65",65,0,7,43,"Italy","Safari",2019-05-16 18:00:56
"66",66,1,5,107.01,"China","Chrome",2019-02-28 14:51:30
"67",67,1,3,134.07,"China","Safari",2019-05-15 16:38:11
"68",68,1,5,79.95,"China","Thor",2019-11-22 16:43:54
"69",69,1,3,25.83,"China","Chrome",2019-04-16 16:20:49
"70",70,1,5,61.5,"China","Opera",2019-12-07 08:43:24
"71",71,0,12,29,"China","Opera",2019-06-29 20:16:54
"72",72,1,4,71.34,"China","Chrome",2019-09-30 04:34:58
"73",73,1,4,115.62,"China","Safari",2019-01-21 14:49:23
"74",74,0,12,36,"Spain","Safari",2019-12-19 00:13:42
"75",75,0,12,50,"China","Chrome",2019-05-15 13:38:37
"76",76,1,5,115.62,"India","Safari",2019-12-13 21:56:36
"77",77,0,5,87,"China","Opera",2019-01-09 04:15:02
"78",78,0,5,101,"India","Safari",2019-08-07 03:46:32
"79",79,1,2,124.23,"United States","Thor",2019-12-13 21:30:08
"80",80,1,1,107.01,"France","Safari",2019-01-05 12:35:28
"81",81,0,7,87,"India","Chrome",2019-06-12 08:39:58
"82",82,0,10,72,"United States","Chrome",2019-01-03 05:25:04
"83",83,1,5,79.95,"China","Safari",2019-02-07 04:45:21
"84",84,1,4,88.56,"United States","Chrome",2019-09-11 13:48:01
"85",85,1,2,44.28,"China","Chrome",2019-01-15 02:21:30
"86",86,1,2,71.34,"Italy","Safari",2019-10-08 05:44:35
"87",87,0,10,43,"China","Chrome",2019-03-19 02:51:50
"88",88,0,12,14,"China","Chrome",2019-09-26 05:50:31
"89",89,1,2,107.01,"United States","Chrome",2019-08-23 22:39:52
"90",90,0,5,65,"Italy","Chrome",2019-11-19 21:13:45
"91",91,1,2,98.4,"India","Internet Explorer",2019-06-21 17:42:17
"92",92,0,2,72,"India","Mozilla",2019-03-20 11:10:08
"93",93,1,4,115.62,"India","Chrome",2019-06-03 06:15:48
"94",94,0,7,80,"China","Chrome",2019-12-22 01:10:11
"95",95,0,10,65,"India","Chrome",2019-01-25 12:05:18
"96",96,0,12,43,"China","Chrome",2019-11-13 00:03:31
"97",97,1,5,115.62,"China","Opera",2019-01-20 12:04:57
"98",98,0,7,72,"Indonesia","Mozilla",2019-05-09 19:43:57
"99",99,0,5,65,"China","Chrome",2019-01-02 23:40:11
"100",100,0,10,94,"India","Chrome",2019-08-08 02:19:59
"101",101,1,4,71.34,"Italy","Internet Explorer",2019-11-10 21:56:28
"102",102,1,4,88.56,"China","Chrome",2019-08-25 01:44:57
