"","id","group","clicks","lifetime","country","browser","date"
"1",1,0,16,22,"India","Chrome",2019-09-07 01:45:11
"2",2,0,25,12,"India","Chrome",2019-06-19 12:55:05
"3",3,1,7,24.96,"India","Chrome",2019-10-22 17:50:00
"4",4,0,18,16,"Italy","Safari",2019-01-03 04:28:58
"5",5,1,15,24.96,"France","Chrome",2019-02-25 22:32:50
"6",6,1,7,23.4,"Indonesia","Chrome",2019-08-12 20:47:14
"7",7,1,10,32.76,"China","Chrome",2019-01-29 12:18:36
"8",8,1,13,29.64,"Indonesia","Mozilla",2019-01-21 16:40:48
"9",9,0,25,16,"China","Chrome",2019-01-16 22:06:29
"10",10,0,27,16,"China","Safari",2019-04-07 01:21:39
"11",11,0,27,16,"India","Opera",2019-12-30 05:58:30
"12",12,1,14,48.36,"China","Opera",2019-10-24 14:52:23
"13",13,1,5,20.28,"United Kingdom","Chrome",2019-05-16 11:28:33
"14",14,0,18,10,"India","Safari",2019-05-31 15:18:10
"15",15,0,21,10,"Spain","Thor",2019-06-08 22:46:53
"16",16,0,29,6,"Spain","Safari",2019-05-14 22:21:12
"17",17,1,12,23.4,"China","Safari",2019-08-08 09:28:24
"18",18,0,23,12,"Italy","Chrome",2019-12-24 20:35:47
"19",19,1,4,24.96,"Italy","Opera",2019-09-02 17:43:29
"20",20,1,10,15.6,"China","Safari",2019-08-18 20:44:06
"21",21,0,23,19,"India","Chrome",2019-08-06 20:30:40
"22",22,0,10,9,"United States","Safari",2019-11-04 02:01:34
"23",23,0,27,18,"United Kingdom","Mozilla",2019-04-11 21:25:41
"24",24,0,12,13,"China","Safari",2019-02-03 18:24:21
"25",25,0,2,21,"India","Safari",2019-01-26 16:18:12
"26",26,0,6,13,"United States","Chrome",2019-07-21 01:03:33
"27",27,0,14,12,"United States","Chrome",2019-01-05 03:31:52
"28",28,0,23,16,"India","Chrome",2019-07-17 03:56:25
"29",29,0,12,16,"France","Mozilla",2019-06-09 10:01:57
"30",30,0,21,12,"France","Opera",2019-07-12 21:01:18
"31",31,1,6,28.08,"India","Internet Explorer",2019-11-27 12:04:53
"32",32,1,9,15.6,"China","Chrome",2019-08-16 01:22:08
"33",33,1,4,28.08,"United States","Chrome",2019-11-11 22:54:46
"34",34,0,16,13,"Indonesia","Chrome",2019-12-09 16:18:03
"35",35,1,8,18.72,"India","Mozilla",2019-05-28 00:05:49
"36",36,0,10,13,"China","Opera",2019-07-21 10:58:54
"37",37,0,16,16,"United Kingdom","Safari",2019-03-22 05:13:18
"38",38,0,23,13,"Germany","Mozilla",2019-11-02 20:19:42
"39",39,1,9,32.76,"China","Safari",2019-05-01 17:15:36
"40",40,0,14,15,"India","Mozilla",2019-10-24 14:05:00
"41",41,1,11,23.4,"Italy","Safari",2019-01-30 15:41:19
"42",42,0,14,16,"India","Opera",2019-04-22 04:51:00
"43",43,0,10,16,"United States","Opera",2019-05-13 10:10:10
"44",44,1,9,18.72,"France","Mozilla",2019-03-14 17:20:40
"45",45,1,6,24.96,"China","Chrome",2019-10-01 02:48:51
"46",46,0,21,16,"Italy","Opera",2019-05-04 21:45:29
"47",47,1,8,34.32,"Indonesia","Internet Explorer",2019-05-16 00:17:03
"48",48,0,27,15,"China","Mozilla",2019-08-22 06:41:38
"49",49,0,8,10,"China","Safari",2019-09-12 11:56:55
"50",50,0,25,12,"France","Safari",2019-01-12 23:59:32
"51",51,1,12,9.36,"Italy","Safari",2019-08-15 23:45:17
"52",52,0,27,10,"India","Chrome",2019-07-30 15:07:23
"53",53,1,9,23.4,"Indonesia","Opera",2019-12-10 13:15:56
"54",54,0,18,18,"India","Opera",2019-02-04 14:13:38
"55",55,1,6,20.28,"China","Safari",2019-06-23 10:55:14
"56",56,0,18,6,"China","Opera",2019-08-01 13:18:30
"57",57,0,31,10,"India","Chrome",2019-08-29 19:44:47
"58",58,1,7,18.72,"China","Chrome",2019-02-28 03:29:48
"59",59,1,9,29.64,"India","Internet Explorer",2019-11-24 15:17:53
"60",60,0,18,12,"India","Chrome",2019-09-01 04:10:33
"61",61,1,6,24.96,"India","Chrome",2019-05-19 01:33:34
"62",62,0,23,15,"United States","Safari",2019-10-29 01:37:03
"63",63,0,14,19,"India","Chrome",2019-05-10 20:03:16
"64",64,1,10,20.28,"Italy","Chrome",2019-10-12 08:01:25
"65",65,1,14,10.92,"China","Chrome",2019-03-07 00:27:27
"66",66,0,16,9,"India","Thor",2019-04-11 20:18:05
"67",67,0,21,13,"China","Chrome",2019-07-23 10:17:48
"68",68,0,16,13,"Indonesia","Safari",2019-06-18 05:46:24
"69",69,0,33,10,"China","Safari",2019-09-18 01:25:13
"70",70,0,29,9,"China","Safari",2019-04-24 19:56:24
"71",71,1,6,6.24,"United States","Opera",2019-02-22 02:04:21
"72",72,1,4,20.28,"China","Thor",2019-10-10 15:10:38
"73",73,1,13,20.28,"China","Chrome",2019-09-13 13:49:37
"74",74,1,9,9.36,"China","Internet Explorer",2019-02-01 19:25:55
"75",75,0,27,15,"United Kingdom","Safari",2019-12-18 21:07:53
"76",76,1,11,20.28,"India","Mozilla",2019-06-04 22:30:37
"77",77,0,33,18,"China","Safari",2019-09-21 14:31:46
"78",78,0,29,16,"China","Mozilla",2019-03-31 19:57:40
"79",79,0,25,15,"United States","Chrome",2019-09-04 14:01:53
"80",80,0,23,15,"India","Opera",2019-06-19 07:19:00
"81",81,1,9,53.04,"India","Safari",2019-02-14 02:34:38
"82",82,1,16,10.92,"India","Mozilla",2019-05-26 11:00:13
"83",83,1,10,34.32,"Indonesia","Opera",2019-03-26 02:45:10
"84",84,0,25,13,"India","Chrome",2019-11-02 22:15:25
"85",85,1,9,15.6,"India","Safari",2019-12-17 20:51:08
"86",86,0,21,10,"China","Opera",2019-07-31 21:25:17
"87",87,0,18,19,"China","Chrome",2019-03-03 05:46:06
"88",88,1,6,28.08,"India","Chrome",2019-12-17 12:43:38
"89",89,1,7,29.64,"France","Internet Explorer",2019-07-25 09:47:45
"90",90,1,10,28.08,"China","Chrome",2019-07-26 05:21:11
"91",91,1,9,15.6,"France","Opera",2019-07-10 09:15:14
"92",92,1,9,15.6,"Italy","Mozilla",2019-08-05 10:38:02
"93",93,0,18,21,"Italy","Chrome",2019-01-21 16:04:39
"94",94,1,13,15.6,"China","Safari",2019-02-26 12:27:14
"95",95,0,35,19,"India","Safari",2019-01-28 18:14:58
"96",96,1,6,18.72,"United States","Opera",2019-06-05 00:05:41
"97",97,0,14,16,"China","Chrome",2019-09-20 10:09:51
"98",98,0,10,10,"China","Opera",2019-05-12 04:40:28
"99",99,0,27,18,"United Kingdom","Chrome",2019-09-09 07:05:03
"100",100,1,6,23.4,"France","Chrome",2019-04-24 07:24:03
"101",101,1,10,20.28,"India","Safari",2019-03-09 12:43:55
"102",102,0,18,19,"Germany","Safari",2019-08-18 15:23:01
"103",103,0,27,16,"China","Chrome",2019-10-16 09:06:54
"104",104,0,18,9,"United Kingdom","Chrome",2019-01-23 16:04:14
"105",105,0,16,19,"Germany","Opera",2019-11-10 03:57:36
"106",106,0,23,24,"Italy","Chrome",2019-05-28 09:41:04
"107",107,0,25,25,"China","Opera",2019-12-19 23:59:02
"108",108,0,8,19,"Indonesia","Safari",2019-09-26 14:57:21
"109",109,0,21,15,"United States","Chrome",2019-12-25 10:10:32
"110",110,0,16,13,"China","Opera",2019-10-01 05:51:02
"111",111,0,16,19,"France","Thor",2019-06-03 04:50:59
"112",112,1,7,23.4,"Indonesia","Opera",2019-09-06 00:42:48
"113",113,1,11,15.6,"United States","Chrome",2019-03-16 08:28:20
"114",114,1,7,18.72,"France","Chrome",2019-02-26 04:17:49
"115",115,0,18,18,"Italy","Mozilla",2019-07-22 08:01:01
"116",116,0,33,12,"Italy","Chrome",2019-05-12 10:30:59
"117",117,1,9,20.28,"China","Opera",2019-10-20 07:12:35
"118",118,0,14,16,"United States","Chrome",2019-12-06 06:01:56
"119",119,0,21,19,"India","Opera",2019-05-08 16:13:32
"120",120,1,5,23.4,"United States","Mozilla",2019-03-17 09:31:24
"121",121,1,7,20.28,"India","Chrome",2019-08-13 02:58:22
