"","id","group","clicks","lifetime","country","browser","date"
"1",1,1,7,9.24,"India","Chrome",2019-07-12 09:48:22
"2",2,1,3,23.1,"Spain","Internet Explorer",2019-12-15 20:35:12
"3",3,0,15,37,"India","Opera",2019-01-14 07:53:23
"4",4,1,8,15.4,"Spain","Safari",2019-04-13 17:14:27
"5",5,0,12,27,"China","Safari",2019-02-20 05:26:43
"6",6,1,5,24.64,"India","Opera",2019-04-26 09:17:12
"7",7,1,6,7.7,"Italy","Opera",2019-10-25 19:00:02
"8",8,1,10,19.25,"Italy","Chrome",2019-02-19 22:21:55
"9",9,1,6,16.94,"France","Safari",2019-10-23 03:32:04
"10",10,1,6,24.64,"India","Chrome",2019-08-26 10:37:04
"11",11,0,12,35,"China","Chrome",2019-09-27 02:45:17
"12",12,1,8,16.94,"India","Safari",2019-11-04 19:53:37
"13",13,1,9,11.55,"France","Chrome",2019-09-09 17:49:32
"14",14,1,6,15.4,"China","Safari",2019-11-21 16:19:54
"15",15,0,17,45,"Germany","Opera",2019-01-20 09:18:01
"16",16,1,6,13.09,"Spain","Chrome",2019-03-05 18:23:58
"17",17,1,3,23.1,"India","Chrome",2019-01-25 21:47:14
"18",18,1,6,20.79,"China","Safari",2019-04-28 00:05:57
"19",19,0,10,15,"China","Chrome",2019-10-20 04:02:37
"20",20,0,3,27,"India","Chrome",2019-08-19 15:18:09
"21",21,0,7,32,"Italy","Safari",2019-11-08 04:20:36
"22",22,1,8,13.09,"India","Safari",2019-10-18 12:27:07
"23",23,0,8,17,"France","Chrome",2019-06-29 07:40:33
"24",24,1,6,23.1,"India","Chrome",2019-11-02 15:34:23
"25",25,1,7,19.25,"United States","Thor",2019-11-19 02:03:12
"26",26,1,6,23.1,"Italy","Chrome",2019-04-11 16:11:50
"27",27,1,5,16.94,"India","Chrome",2019-02-03 19:38:13
"28",28,1,7,16.94,"India","Safari",2019-09-11 20:57:51
"29",29,1,3,11.55,"India","Safari",2019-03-05 07:07:47
"30",30,1,7,13.09,"China","Chrome",2019-07-24 09:44:21
"31",31,1,6,40.04,"France","Internet Explorer",2019-07-16 22:17:49
"32",32,0,21,32,"China","Safari",2019-09-08 16:20:58
"33",33,1,7,24.64,"India","Safari",2019-07-18 18:10:45
