"","id","group","clicks","lifetime","country","browser","date"
"1",1,2,6,56,"Germany","Chrome",2019-12-12 03:47:57
"2",2,4,3,72,"China","Chrome",2019-09-10 17:57:40
"3",3,3,4,104,"India","Internet Explorer",2019-04-14 06:27:50
"4",4,4,4,104,"China","Chrome",2019-05-03 06:35:40
"5",5,4,4,64,"India","Chrome",2019-12-26 20:00:03
"6",6,6,8,96,"China","Chrome",2019-09-03 05:01:14
"7",7,9,6,80,"India","Mozilla",2019-04-03 19:20:27
"8",8,8,6,120,"China","Chrome",2019-01-06 17:27:52
"9",9,8,4,104,"China","Safari",2019-02-16 19:07:09
"10",10,7,6,104,"United States","Mozilla",2019-06-27 17:03:37
"11",11,3,4,88,"United Kingdom","Chrome",2019-11-02 02:35:23
"12",12,7,5,96,"United States","Chrome",2019-04-06 20:51:36
"13",13,3,4,112,"Indonesia","Opera",2019-04-23 10:35:41
"14",14,7,5,120,"United States","Opera",2019-01-06 18:13:18
"15",15,7,6,64,"India","Safari",2019-01-01 15:21:06
"16",16,1,4,108.24,"China","Mozilla",2019-12-03 09:04:00
"17",17,0,10,56,"China","Safari",2019-11-01 02:24:40
"18",18,5,7,80,"China","Mozilla",2019-02-23 21:08:20
"19",19,7,7,80,"India","Safari",2019-11-02 21:16:39
"20",20,7,3,64,"India","Chrome",2019-12-21 18:07:22
"21",21,5,5,104,"India","Chrome",2019-08-16 06:38:38
"22",22,2,3,64,"India","Opera",2019-09-30 09:31:37
"23",23,3,4,72,"India","Opera",2019-03-28 17:02:36
"24",24,2,5,64,"India","Chrome",2019-06-24 13:37:19
"25",25,5,7,112,"France","Chrome",2019-05-26 10:45:29
"26",26,6,3,72,"China","Chrome",2019-04-25 08:02:04
"27",27,9,6,56,"Italy","Mozilla",2019-05-27 19:41:33
"28",28,6,3,72,"Italy","Chrome",2019-06-17 14:59:13
"29",29,8,4,56,"United States","Safari",2019-06-27 22:05:36
"30",30,6,8,56,"China","Chrome",2019-11-22 03:02:57
"31",31,2,3,48,"China","Opera",2019-11-17 03:49:17
"32",32,6,7,80,"China","Chrome",2019-06-27 12:45:12
"33",33,1,6,88.56,"China","Safari",2019-09-20 05:22:48
"34",34,1,4,88.56,"India","Chrome",2019-07-16 08:15:03
"35",35,8,3,104,"China","Chrome",2019-03-22 14:22:26
"36",36,8,9,72,"Spain","Mozilla",2019-05-20 14:21:54
"37",37,8,8,96,"Spain","Chrome",2019-08-15 16:00:19
"38",38,5,5,72,"United States","Chrome",2019-11-01 11:19:54
"39",39,3,8,40,"India","Opera",2019-08-22 04:58:41
"40",40,8,9,120,"India","Safari",2019-08-29 05:56:26
"41",41,2,4,128,"China","Internet Explorer",2019-03-13 14:12:53
"42",42,1,7,118.08,"China","Safari",2019-05-01 15:24:16
"43",43,2,3,80,"India","Safari",2019-02-09 10:27:03
"44",44,6,6,88,"Italy","Chrome",2019-10-02 19:03:55
"45",45,2,5,120,"India","Chrome",2019-12-29 17:59:19
"46",46,1,8,78.72,"Indonesia","Chrome",2019-08-20 05:33:19
"47",47,0,20,64,"United States","Opera",2019-11-14 09:47:22
"48",48,1,3,68.88,"China","Chrome",2019-03-18 07:57:05
"49",49,1,5,118.08,"China","Internet Explorer",2019-03-24 21:48:37
"50",50,5,3,64,"Indonesia","Chrome",2019-12-27 19:08:30
"51",51,3,4,112,"United States","Chrome",2019-09-04 20:47:48
"52",52,2,3,128,"India","Opera",2019-03-25 01:24:01
"53",53,7,4,88,"India","Chrome",2019-12-20 08:41:08
"54",54,6,8,72,"Germany","Safari",2019-03-18 05:45:28
"55",55,5,3,24,"India","Chrome",2019-03-11 12:54:57
"56",56,9,7,72,"India","Safari",2019-10-08 16:16:58
"57",57,2,3,80,"China","Thor",2019-12-21 18:10:51
"58",58,3,7,72,"China","Opera",2019-01-30 00:10:31
"59",59,6,4,56,"China","Thor",2019-02-28 10:38:27
"60",60,5,4,40,"China","Opera",2019-12-07 00:20:15
"61",61,4,6,72,"China","Mozilla",2019-07-10 09:37:47
"62",62,4,6,96,"India","Chrome",2019-08-21 14:39:30
"63",63,2,6,96,"Spain","Chrome",2019-10-16 03:30:42
"64",64,2,7,48,"India","Opera",2019-08-07 00:06:30
"65",65,3,6,80,"India","Chrome",2019-05-14 08:33:43
"66",66,4,4,88,"China","Safari",2019-01-28 23:21:03
"67",67,0,17,96,"India","Chrome",2019-07-31 07:42:09
"68",68,9,3,56,"Germany","Safari",2019-07-07 12:10:36
"69",69,1,5,118.08,"France","Chrome",2019-09-05 14:12:44
"70",70,1,3,98.4,"China","Safari",2019-08-25 17:02:12
"71",71,4,8,80,"China","Chrome",2019-06-14 09:30:02
"72",72,6,8,112,"Italy","Chrome",2019-10-20 10:40:01
"73",73,4,5,64,"United States","Chrome",2019-10-12 16:14:22
"74",74,0,25,80,"India","Chrome",2019-03-03 23:22:23
"75",75,4,6,96,"United States","Chrome",2019-07-13 12:08:13
"76",76,6,6,80,"China","Chrome",2019-08-09 21:38:19
"77",77,3,5,96,"France","Chrome",2019-06-30 17:04:03
"78",78,3,3,64,"India","Chrome",2019-12-21 08:30:18
"79",79,5,6,128,"Italy","Mozilla",2019-10-16 03:14:28
"80",80,4,9,56,"Indonesia","Thor",2019-06-11 13:18:56
"81",81,7,6,96,"India","Safari",2019-04-21 21:45:15
"82",82,8,3,32,"China","Opera",2019-01-15 20:42:05
"83",83,6,6,80,"India","Chrome",2019-11-14 13:16:53
"84",84,0,5,104,"China","Safari",2019-06-29 20:03:50
"85",85,8,3,88,"China","Mozilla",2019-02-13 10:56:57
"86",86,3,6,64,"Italy","Opera",2019-06-13 02:29:40
