"","id","group","clicks","lifetime","country","browser","date"
"1",1,3,8,42,"China","Chrome",2019-08-25 15:01:46
"2",2,6,6,24,"China","Opera",2019-07-06 00:42:09
"3",3,2,9,36,"India","Chrome",2019-02-21 18:22:14
"4",4,2,6,33,"India","Opera",2019-09-01 23:18:51
"5",5,9,7,27,"India","Chrome",2019-12-14 13:12:22
"6",6,7,7,24,"France","Chrome",2019-02-10 01:05:37
"7",7,1,15,51.48,"United States","Chrome",2019-10-08 14:57:03
"8",8,6,10,24,"Italy","Chrome",2019-06-02 01:45:38
"9",9,4,15,24,"United States","Safari",2019-04-20 14:08:38
"10",10,3,7,39,"China","Opera",2019-06-24 15:20:08
"11",11,8,10,15,"United States","Safari",2019-04-16 13:08:39
"12",12,5,6,27,"India","Chrome",2019-09-16 02:31:41
"13",13,6,9,45,"China","Opera",2019-11-28 09:48:11
"14",14,3,5,36,"China","Chrome",2019-11-15 14:57:33
"15",15,1,15,46.8,"United States","Safari",2019-08-06 10:43:20
"16",16,6,11,21,"India","Safari",2019-03-25 03:27:55
"17",17,6,8,27,"United Kingdom","Chrome",2019-11-15 03:01:59
"18",18,2,15,48,"Spain","Chrome",2019-10-22 14:36:09
"19",19,1,8,46.8,"India","Thor",2019-12-07 21:13:42
"20",20,3,11,24,"France","Opera",2019-10-28 00:58:25
"21",21,8,9,21,"India","Chrome",2019-03-20 22:27:37
"22",22,7,11,39,"Italy","Chrome",2019-10-23 02:02:37
"23",23,8,8,24,"India","Chrome",2019-10-02 18:29:43
"24",24,7,11,33,"India","Chrome",2019-07-12 09:50:21
"25",25,5,8,39,"India","Chrome",2019-08-29 02:05:19
"26",26,4,8,33,"India","Opera",2019-10-01 20:47:20
"27",27,5,10,48,"Italy","Opera",2019-08-04 06:09:06
"28",28,2,7,33,"India","Mozilla",2019-08-12 15:48:04
"29",29,1,17,37.44,"Italy","Chrome",2019-05-06 19:03:07
"30",30,5,7,27,"China","Thor",2019-11-08 23:38:39
"31",31,7,15,21,"Germany","Safari",2019-07-06 22:07:02
"32",32,2,11,45,"India","Chrome",2019-04-21 21:56:05
