,page_name,code,description
0,main,main.0,original
1,main,main.1,title on left & login button is red
2,main,main.2,title on right & login button is red
3,main,main.3,title on left & login button is orange
4,main,main.4,title on right & login button is orange
5,main,main.5,smooth scrolling enabled
6,main,main.6,support window in bottom-right corner
7,main,main.7,pricing bolded
8,main,main.8,menu is dropdown
9,main,main.9,website map at the bottom
10,login,login.0,original
11,login,login.1,text fields bolded
12,login,login.2,instruction showed
13,login,login.3,text fields magnified
14,login,login.4,name and surname required
15,login,login.5,difficult password required
16,login,login.6,tooltip for textfields visible
17,login,login.7,captcha
18,login,login.8,verification email
19,login,login.9,email required
20,pricing,pricing.0,original
21,pricing,pricing.1,pricing ascending order
22,pricing,pricing.2,prices bolded
23,pricing,pricing.3,prices italiazed
24,pricing,pricing.4,features list is manual
25,pricing,pricing.5,page is long
26,pricing,pricing.6,a lot of text
27,pricing,pricing.7,can pay right away
28,pricing,pricing.8,consultation button
29,pricing,pricing.9,captcha
